Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
#EjércitoGT a través de la Brigada Especial de Operaciones de Selva en coordinación con la municipalidad de Sayaxch… https://t.co/hezJp1nNJs,https://twitter.com/i/web/status/1327436898449707010,13/11/2020 20:23:13,Twitter for Android,6,3,Ejército Guatemala,20:23:13,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
"Enma Leticia Cortez de Baltazar (44a), fue capturada en Estanzuela, Zacapa, luego de un allanamiento realizado por… https://t.co/CunMbWUZO0",https://twitter.com/i/web/status/1327440599335776257,13/11/2020 20:37:56,Twitter for iPhone,4,0,MinGob,20:37:56,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
#EjércitoGT a través de la Brigada Especial de Operaciones de Selva en coordinación con @ConredGuatemala entregaron… https://t.co/llWpdm55LR,https://twitter.com/i/web/status/1327441549546958848,13/11/2020 20:41:42,Twitter for Android,377,49,Ejército Guatemala,20:41:42,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
#Escuintla | #EjércitoGT a través de la Brigada de Paracaidistas concientizó a la población sobre el uso de la masc… https://t.co/cIWSVr4AfU,https://twitter.com/i/web/status/1327441984714403840,13/11/2020 20:43:26,Twitter for Android,4,1,Ejército Guatemala,20:43:26,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
"#EjércitoGT a través de la Brigada Especial de Operaciones de Selva apoyó en la descarga de insumos de limpieza, co… https://t.co/7xY8b61G4n",https://twitter.com/i/web/status/1327442936968122373,13/11/2020 20:47:13,Twitter for Android,4,2,Ejército Guatemala,20:47:13,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
#EjércitoGT a través de la Sexta Brigada de Infantería efectuó entrega de ropa y víveres para los damnificados de l… https://t.co/yddPV4DGq9,https://twitter.com/i/web/status/1327444236061593602,13/11/2020 20:52:23,Twitter for Android,10,2,Ejército Guatemala,20:52:23,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
#EjércitoGT a través de Reservas Militares Departamentales realizó actividades en apoyo a la implementación de medi… https://t.co/yXojzLAU7Q,https://twitter.com/i/web/status/1327444709229400066,13/11/2020 20:54:16,Twitter for Android,4,1,Ejército Guatemala,20:54:16,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
"#MigraciónSegura | Migración participa en operativos de seguridad interinstitucionales, con la finalidad de estable… https://t.co/SccuRt5toc",https://twitter.com/i/web/status/1327455476745863169,13/11/2020 21:37:03,Hootsuite Inc.,1,0,Migración Guatemala,21:37:03,http://pbs.twimg.com/profile_images/1290300788347146241/7sOKfiDS.jpg
"Brigada de Artillería de Campaña ""Santa Bárbara"" 

""Hijos del trueno y del acero"". https://t.co/BAZeIZLleW",https://twitter.com/i/web/status/1327456205841850368,13/11/2020 21:39:57,Twitter for Android,7,1,Ejército Guatemala,21:39:57,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
#EnVivo | Presidente @DrGiammattei participa en la inauguración de la Teletón 2020 https://t.co/zA6HOAsvhV,https://twitter.com/i/web/status/1327456554828722177,13/11/2020 21:41:20,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope",22,12,Gobierno Guatemala,21:41:20,http://pbs.twimg.com/profile_images/1292921828256735234/sNXpArrM.jpg
#CápsulaInformativa  Noticias relevantes de la semana. https://t.co/e4oeg65Xfc,https://twitter.com/i/web/status/1327465230989996033,13/11/2020 22:15:48,Twitter for Android,4,1,Ejército Guatemala,22:15:48,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
"RT @PNCdeGuatemala: #OperativosPNC
El Director General, José Antonio Tzuban encabeza una serie de actividades operativas que se desarrollan…",https://twitter.com/i/web/status/1327467258726264832,13/11/2020 22:23:52,Twitter for iPhone,0,3,MinGob,22:23:52,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
"RT @PNCdeGuatemala: #Urgente

En este momento investigadores antiextorsiones reportan la captura de 2 hombres y la incautación de 2 armas d…",https://twitter.com/i/web/status/1327467279714578432,13/11/2020 22:23:57,Twitter for iPhone,0,4,MinGob,22:23:57,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
